driverId,week,hours-logged,miles-logged
927,20,57,900
327,11,50,600
536,7,60,1500
825,17,76,2800
1007,15,57,1100
423,2,55,2600
412,11,55,2400
278,19,53,3400
630,28,65,1700
41,15,70,2700
58,6,71,3800
102,14,64,1600
672,20,55,2300
750,5,76,3900
31,11,60,500
209,31,59,300
670,35,51,3300
506,17,79,200
801,17,62,2400
815,28,63,1600
183,23,79,3700
899,20,56,1400
685,46,53,1200
582,3,67,3500
798,52,51,3000
273,38,77,2000
705,7,64,1900
406,10,50,1200
805,28,62,3500
261,33,62,1000
724,47,61,3300
563,22,60,100
193,21,56,3400
537,23,73,3600
65,11,77,2700
89,36,64,2600
726,23,68,2400
371,9,62,1900
574,16,61,2000
730,28,73,2200
411,8,72,3300
495,25,56,1300
825,48,64,2400
167,29,63,800
27,47,80,3600
815,33,77,1200
111,21,75,2100
504,9,69,3100
727,42,63,2800
445,51,60,700
925,17,54,900
482,6,61,3200
914,43,65,100
886,33,64,600
1009,30,62,2200
538,10,73,1700
16,49,55,1600
841,15,55,1600
112,22,76,3000
410,52,52,1300
246,38,65,1100
380,36,53,1600
970,38,65,3200
460,12,63,700
723,17,76,4000
159,11,78,2600
850,17,67,3400
959,29,58,1100
38,38,54,400
78,28,75,1900
900,42,65,0
243,29,60,2500
86,20,65,800
935,50,80,1200
838,24,79,2100
526,30,63,400
80,34,51,2500
477,21,79,600
41,6,66,2400
330,32,62,3500
700,45,77,3100
502,40,79,100
17,4,54,2800
183,14,68,1200
210,4,68,700
254,3,58,3100
826,25,65,2300
555,50,66,800
792,12,66,2000
77,12,58,2100
32,26,77,900
286,18,56,500
904,52,61,3300
709,4,72,100
948,1,67,0
348,7,74,1900
975,14,50,3100
234,47,74,1900
19,6,56,1500
115,25,54,2800
612,50,66,1400
295,15,68,3700
756,37,60,3900
589,48,52,3200
73,11,64,2200
570,12,79,1600
103,34,54,900
638,19,62,1900
709,28,59,3700
150,8,70,0
760,1,78,1500
636,11,77,400
464,24,50,700
559,15,59,600
493,3,61,3000
501,9,58,1700
873,18,63,2300
115,19,52,1400
69,49,69,2200
682,39,76,3000
769,44,74,100
721,24,54,1300
219,18,71,2300
1006,39,56,3700
541,5,65,2500
555,33,50,600
305,41,67,2500
126,38,79,2700
415,48,77,1500
339,41,62,700
213,36,65,3600
748,7,61,800
924,7,79,0
423,3,65,3500
959,5,73,2900
365,12,59,3100
490,22,70,2900
969,40,50,2400
95,46,63,100
120,9,63,1300
39,51,57,3400
457,44,56,3400
270,4,63,100
528,33,78,400
398,24,79,2000
161,3,80,3000
941,42,63,300
862,4,51,1700
228,13,70,3400
564,48,57,3700
1003,46,55,3400
838,31,65,3600
726,15,56,2300
835,3,54,3600
383,13,69,4000
448,12,76,300
232,43,71,700
1000,35,61,3800
251,34,56,3600
190,15,57,800
636,44,80,3400
656,11,72,1200
725,16,77,1300
347,25,78,2200
590,44,66,2300
41,50,73,1400
464,11,53,3500
921,37,62,2100
740,21,59,3400
377,38,74,2900
121,43,80,3900
665,52,69,600
393,21,70,2600
1001,42,77,2300
600,33,63,2100
782,10,52,2500
454,35,77,800
374,30,76,1900
730,30,65,3000
640,7,51,800
811,44,75,1000
654,4,69,2200
945,6,67,2400
836,9,54,3600
596,35,64,600
128,31,51,0
770,22,67,3000
336,40,67,600
619,30,60,2100
96,42,53,1600
755,4,54,2100
227,32,56,1500
543,35,58,3800
163,26,80,3700
924,11,64,2400
72,17,80,1300
607,7,71,1100
507,31,59,1200
191,27,63,500
320,9,75,400
700,19,62,1600
759,30,61,1200
16,28,65,2900
608,43,53,1000
668,38,69,1600
183,49,59,2600
248,3,61,3300
497,30,55,800
856,9,54,3100
259,12,62,2800
695,29,56,1600
578,46,65,1100
1006,50,72,1200
295,5,78,1400
458,17,68,1300
331,14,59,1300
183,43,57,3100
681,20,80,3500
400,8,60,700
258,21,75,3800
884,33,50,0
200,19,63,1900
750,17,72,1800
401,4,53,1500
684,51,57,1300
887,21,79,2800
945,31,50,2200
514,47,77,0
891,36,54,1900
915,13,71,3500
76,40,52,3400
104,8,54,2200
372,43,77,2000
849,42,77,600
82,13,72,2300
207,50,54,3600
702,23,59,3600
393,18,76,2000
500,11,64,2000
501,30,65,600
246,36,72,1500
266,42,62,100
590,21,66,1300
730,23,60,1400
280,10,73,3500
527,11,77,1000
246,19,77,1100
447,15,53,1300
823,7,61,2500
810,40,55,800
749,12,52,2700
645,6,74,400
856,35,56,2000
578,30,55,2300
676,28,53,1900
637,32,76,0
573,37,53,200
970,30,72,3800
393,3,52,2100
747,38,58,2600
672,16,79,3000
473,4,73,1500
832,52,79,3000
228,11,64,2000
487,3,60,500
627,17,70,500
162,49,68,2700
458,47,59,2300
887,15,62,200
54,51,53,1000
122,47,73,3700
441,13,56,3000
390,27,55,3100
569,47,62,2400
15,43,50,3800
846,26,68,3200
946,29,59,200
590,43,53,2700
251,18,71,3500
453,51,61,0
609,18,70,2100
284,20,74,2200
299,50,78,600
640,35,80,3200
800,10,69,1700
989,45,60,3600
665,35,58,1900
844,23,63,500
40,52,62,1900
863,5,52,3200
97,15,54,500
65,10,78,3700
285,37,66,2600
537,42,75,200
353,31,74,3600
719,27,80,3900
33,49,53,2100
929,22,68,3100
406,39,56,1600
899,20,71,0
527,1,76,3300
549,43,80,3300
991,52,57,2900
500,23,78,3600
949,33,80,800
149,42,50,3200
917,20,63,3800
620,33,55,3100
607,40,55,300
391,22,63,3000
283,21,59,1400
375,27,74,2000
1004,32,62,1700
954,30,78,0
756,44,70,3800
444,46,56,2200
61,20,74,1800
611,49,75,100
60,22,63,2600
24,39,53,2700
131,24,75,0
247,36,80,3300
672,14,66,800
15,33,52,800
965,51,68,1000
406,25,61,1000
669,25,61,1100
799,52,53,1000
48,24,57,2100
105,33,54,800
412,29,54,3900
695,30,50,1900
343,35,58,3800
197,20,71,2200
383,24,54,1200
544,42,52,400
720,25,51,3400
676,7,65,1500
18,50,52,3500
144,24,70,2100
165,38,71,3300
622,41,71,3600
264,16,66,1100
188,26,55,2100
63,9,74,2300
176,6,69,3400
180,46,52,600
757,28,62,100
847,25,58,3900
857,40,67,3100
770,38,52,2900
111,44,71,3300
1000,25,79,3000
312,37,78,2000
77,32,51,2200
911,43,63,2700
354,42,58,3100
191,22,73,1600
837,8,51,2600
970,25,59,3000
445,25,80,1400
164,28,73,200
728,18,61,600
366,11,51,2700
791,32,62,2500
804,42,77,800
908,33,50,3700
346,32,51,2500
126,48,63,2100
804,43,70,3200
977,34,68,200
380,16,63,1700
513,15,75,500
553,6,66,2700
214,16,65,2500
869,38,73,2000
176,6,60,2000
636,52,51,2600
944,30,63,2300
456,35,58,200
432,37,67,1300
576,50,61,2500
406,11,77,3600
478,15,78,100
197,51,74,4000
598,25,80,3700
417,52,79,3900
328,35,72,900
81,14,70,2400
603,32,56,1200
956,21,69,1100
140,1,65,1600
144,48,51,500
541,11,56,1200
75,24,68,3700
211,35,63,3900
614,34,70,2300
154,25,64,600
869,3,54,2600
764,46,72,800
319,37,69,3400
253,5,53,2700
365,12,68,2800
426,10,70,2600
698,24,58,3800
781,48,56,3800
616,12,59,200
317,16,53,2000
565,48,72,1600
733,26,68,3800
428,19,65,900
35,3,70,3300
786,3,62,3300
460,40,51,1000
707,35,67,2300
430,13,64,3500
12,7,60,3700
18,23,71,1700
692,14,62,1900
833,24,62,1900
675,34,59,3200
141,3,66,4000
432,16,51,1300
483,32,57,1100
232,41,53,600
231,36,73,2400
614,51,79,2600
155,1,50,2900
327,22,79,0
180,14,80,1500
814,28,61,1200
978,51,77,700
208,1,67,3800
224,9,78,4000
827,37,67,2200
352,19,60,3300
630,17,63,1800
556,32,80,2600
165,29,79,300
964,4,69,3000
151,7,73,1600
500,12,51,900
58,32,51,2400
479,1,53,3600
308,17,75,3900
919,14,78,300
13,19,55,800
751,12,80,3000
189,30,54,1700
356,30,73,1500
889,16,56,0
919,6,58,3700
736,3,70,1200
598,36,53,1200
822,38,67,2300
776,24,54,3500
491,32,74,4000
864,21,70,3700
963,38,78,4000
710,33,58,2700
730,19,67,1500
931,42,77,100
894,31,75,2100
106,51,62,1400
912,39,50,1300
618,6,56,400
910,34,66,1700
116,47,77,3900
346,5,56,400
728,32,75,3600
155,25,51,800
210,6,71,0
556,6,74,700
566,25,61,3000
937,41,52,3700
314,22,54,1300
997,7,60,1300
687,29,65,1800
485,28,52,4000
10,34,80,1600
494,36,55,1200
420,30,53,3200
322,10,61,700
672,34,56,3800
654,51,53,500
877,48,51,3900
654,36,74,2200
777,9,53,1300
179,24,50,4000
484,47,53,700
845,24,57,3100
287,18,71,700
458,12,55,2300
402,51,50,2000
478,43,52,1700
529,41,53,1400
754,48,76,4000
424,18,76,2100
347,12,61,3700
184,47,78,3500
819,20,65,2200
735,10,73,200
108,19,51,200
144,6,68,3900
98,44,55,2900
309,46,67,2800
171,11,71,1000
809,1,69,2000
999,4,76,700
485,2,65,3600
987,45,74,4000
164,49,59,3300
615,32,69,2400
965,23,72,3400
253,36,56,900
952,22,59,2900
694,46,54,2500
821,1,56,2100
708,32,50,1700
225,18,68,3600
818,51,73,3600
24,36,62,3000
562,28,59,2700
204,2,51,2900
16,39,64,2600
672,39,75,2300
752,15,54,1200
22,6,53,2700
466,12,76,3700
203,42,59,1400
554,12,70,0
76,22,67,4000
779,36,76,700
127,13,70,700
119,16,77,3000
670,51,52,3100
1000,40,77,3000
807,42,65,2100
746,44,76,1400
16,25,76,0
472,52,78,1500
205,20,79,1600
841,12,64,2000
327,39,51,1300
441,29,63,1900
931,5,65,4000
662,37,57,1500
288,33,67,200
1009,27,72,1300
224,16,67,900
697,28,70,3100
881,7,53,1700
767,4,74,2000
836,19,71,400
823,16,68,1400
115,51,74,1800
738,37,78,2300
428,31,70,3200
962,38,76,3500
794,51,70,2600
232,19,67,3800
538,41,72,3200
450,17,80,500
544,14,57,3800
185,47,57,2700
883,49,74,800
389,3,65,3200
809,13,68,700
300,32,79,3100
844,41,53,1600
436,44,61,2600
20,1,53,100
687,32,51,1300
684,39,61,200
512,13,68,3200
293,47,57,1100
83,43,74,3000
17,6,60,2300
660,19,51,400
471,19,79,300
239,29,50,1400
210,21,74,3000
927,50,61,3400
310,28,58,100
776,10,71,700
675,19,63,3200
275,43,55,1300
663,16,79,800
343,15,77,1200
390,47,66,1000
